epoch,accuracy,val_accuracy,loss,val_loss
1,0.18239795918367346,0.2873576374978538,4.005737962116439,3.3492007881312573
2,0.31173959968602827,0.38396382990900246,3.1425275095216523,2.76969909564267
3,0.37343014128728413,0.4371315744291192,2.7483688057685387,2.446650899159972
4,0.40811420722135006,0.46866594173868253,2.5145053553805807,2.2677612534195912
5,0.4391189167974882,0.4889830023464774,2.357375400968399,2.151123473921659
6,0.4577855180533752,0.5074686659417387,2.2386328683730383,2.044000125965624
7,0.47483320251177397,0.5206890631259657,2.14836647942826,1.9590746209077405
8,0.48959968602825743,0.5276712642362502,2.068401415363024,1.9136084948285774
9,0.5046850470957613,0.5396898071310021,1.99727024940344,1.8645369094258515
10,0.5114550627943485,0.549419103760087,1.9479024188952694,1.8149091771353991
11,0.5220270800627943,0.5540548274480627,1.9008343180457314,1.7792585716150406
12,0.5317405808477237,0.5617238024380473,1.8591897190085012,1.743573416669811
13,0.5361803375196232,0.5652149029931894,1.8263924818959678,1.711894358329465
14,0.5453787284144427,0.5695644708979568,1.7805273564681527,1.6978949945786095
15,0.5527864992150706,0.572368797573399,1.7498687239512918,1.6751810241010257
16,0.5560733908948194,0.5798660790934584,1.7213866624109786,1.649143961770079
17,0.5642660910518054,0.5826704057689006,1.6933269904958583,1.6360462947759742
18,0.5703247645211931,0.5867338178904595,1.6734297263846853,1.6248719565570782
19,0.5727776687598116,0.5892519887826932,1.645158092820289,1.6011268030887258
20,0.5773155416012559,0.5936587878441023,1.61843350506278,1.5935422861039832
21,0.5822704081632653,0.5969781949293195,1.605113688780337,1.5751215877765197
22,0.5846006671899528,0.5988668230984948,1.5826639797848472,1.5588579276151406
23,0.5897272370486656,0.6020717678704287,1.5621613114838324,1.5487945835223176
24,0.5933330062794349,0.6005265266411034,1.5480246749740194,1.541801254408549
25,0.5956632653061225,0.6070508784982545,1.5298746763911315,1.5220321926016953
26,0.603021978021978,0.6079665770045213,1.511834369864157,1.5210890519180984
27,0.6044691915227629,0.6063068734619127,1.4926135320116998,1.520426071426813
28,0.6066032182103611,0.6117438333428719,1.4792202773329977,1.5063881682961069
29,0.6092032967032966,0.6112859840897384,1.4727021059024277,1.4998671207477852
30,0.6161695447409733,0.6117438333428719,1.452389342818567,1.491982041939207
31,0.6179601648351648,0.6163795570308476,1.433793237155049,1.4761848230884336
32,0.6171997645211931,0.616665712814056,1.4288126199829334,1.4774282626231616
33,0.6200696624803768,0.6178675671035312,1.4263198181074492,1.4821650483077047
34,0.6243622448979592,0.6178103359468895,1.4058279025498515,1.4685733000008738
35,0.6267415620094191,0.623190064671207,1.3913967799354385,1.449524822327484
36,0.6274283751962323,0.6205002003090483,1.3840217083645765,1.4585957585305278
37,0.6335361067503925,0.6243919189606822,1.3716505756089976,1.4451436788467962
38,0.6351550235478807,0.6248497682138155,1.3624687655660759,1.4368554922564305
39,0.6336832810047096,0.6235906827676987,1.3558235384605744,1.4447945295384526
40,0.6372399921507065,0.6261088536599325,1.3408365599120993,1.4413021958651038
